judge,artist,song,vote
D4,爱是唯一,Darling,0
D4,爱是唯一,Sunshine,0
D4,王若琳,我只在乎你,0
D4,王诗安,太空农场,0
D4,白纸扇,东莞,4
D4,百合花,一枝草,0
D4,祁紫檀,这世上美的事物总让人心碎,0
D4,粉红A,香港香港,4
D4,自闭电台,寻找小羊,0
D4,脏手指,滥情三部曲,1
D4,苏紫旭&The Paramecia,爱的匕首,0
D4,苏紫旭&The Paramecia,当年星,0
D4,苏紫旭&The Paramecia,混乱之子,0
D4,茄子蛋,孤独的人我们一起出发,0
D4,莫宰羊,健康快乐,0
D4,落日飞车,我是一只鱼,0
D4,落日飞车,Vanilla,0
D4,蔡旻佑/艾怡良,伎俩,0
D4,袁娅维,我爱,0
D4,袁娅维,来,0
D4,裘德,颁奖的时候我要缺席,2
D4,许廷铿,十,0
D4,谢安琪,773312,0
D4,路嘉欣,落落大方,0
D4,还潮,舟宿渡夏目漱石,0
D4,邓小巧,精神喂饲,0
D4,邓紫棋,句号,0
D4,邱比,叶柏,0
D4,邱比,柔黄,0
D4,郁可唯,路过人间,0
D4,郑宜农,千千万万,0
D4,陈家麟Whle,Pluto,0
D4,陈楚生,趋光号,0
D4,陈珊妮/吕士轩,成为一个厉害的普通人,0
D4,鬼卞,佳人,0
D4,魏如萱,Ophelia,0
D4,魏如萱,彼个所在,0
D4,魏如萱/岑宁儿,星期三或礼拜三,0
D4,鹿晗,夜的尽头,0
D4,鲁向卉,嘲笑孤单,0
D4,麦浚龙/黎明,忘记和记,0
D4,黎忘年,宝石,0
D4,3unshine,巴拉,0
D5,王嘉尔/Higher Brothers/AUGUST 08/GoldLink,Tequila Sunrise,0
D5,9m88,爱情雨,0
D5,9m88/Leo王,最高品质静悄悄(Airplane Mode),0
D5,Atta Girl,九月,0
D5,deca joins,雾,0
D5,Dusty Bottle,You Don't Know Me,0
D5,Fill Lake,"Be not afeard, the isle is full of noises",0
D5,Happy Birdy,大球滚动,0
D5,Ice Paper,鸦雀无声,0
D5,J.Sheon,输情歌,1
D5,LMF/Matt Force/Dough Boy/Future/Seanie P/Tommy/KZ/Akiko/JB/黄祸YP/Heyo,W.T.F.H.K,0
D5,Matt Force,告别,0
D5,Nerve Passeger,中环留念,0
D5,per se,庆祝无意义,0
D5,SoulFa,R.U.M.O.R.S,2
D5,イルカポリス 海豚刑警,安平之光,1
D5,丁世光,你的家,0
D5,丁世光,月食,0
D5,丁世光/叶喜儿,低潮期,0
D5,上海彩虹室内合唱团,我有一个装满星星的口袋,0
D5,不优雅,停在空中,0
D5,尹吾,我承认,0
D5,九连真人,莫欺少年穷,0
D5,五条人,匈奴王,0
D5,伍佰&China Blue,让水倒流,1
D5,佛跳墙,关你屁事,1
D5,佛跳墙,无名氏,2
D5,傻子与白痴,5:10a.m.,0
D5,傻子与白痴,夜长梦少,0
D5,傻子与白痴,象牙舟,0
D5,全家福合唱团,感恩节,0
D5,全家福合唱团,爱上福利社,0
D5,凹与山/李漫,一切好事都会发生,0
D5,刘柏辛,Manta,0
D5,卢凯彤,光,0
D5,卢凯彤,光之外,0
D5,卢凯彤,圆谎,0
D5,发光曲线,无限引擎,0
D5,发光曲线,灰烬霓虹,0
D5,发光曲线,荒野星,0
D5,右侧合流,躲猫猫,0
D5,吉克隽逸,Looking for Trouble,0
D5,吴建京,灰沙燕,0
D5,吴林峰,下一束光,0
D5,吴青峰,Outsider,0
